Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Bionaut Labs,https://finder.startupnationcentral.org/company_page/bionaut-labs,Precision-targeted Medicine Modality for CNS Disorders,Life Sciences & HealthTech,2016,11-50,B
Magneto Thrombectomy Solutions,https://finder.startupnationcentral.org/company_page/magneto-thrombectomy-solutions,Thrombectomy Solutions,Life Sciences & HealthTech,2016,1-10,Seed
Medibrane,https://finder.startupnationcentral.org/company_page/medibrane,Contract Manufacturing of polymer solvent based processes,Life Sciences & HealthTech,2015,11-50,Seed
Innosphere,https://finder.startupnationcentral.org/company_page/innosphere,AI-based Brain Stimulation Device for Treatment of ADHD,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Breath of Life Pharma,https://finder.startupnationcentral.org/company_page/breath-of-life-pharma,Cannabis-related Products,Life Sciences & HealthTech,2007,51-200,Seed
ART BioScience,https://finder.startupnationcentral.org/company_page/art-bioscience,Genetic Therapies for Duchenne Muscular Dystrophy,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Viz.ai,https://finder.startupnationcentral.org/company_page/viz,AI-powered Intelligent Care Coordination,Life Sciences & HealthTech,2016,201-500,D
Granalix BioTechnologies,https://finder.startupnationcentral.org/company_page/granalix,Natural Antioxidant Products to Support Brain Health,Life Sciences & HealthTech,2013,1-10,Mature
ModuLight.bio,https://finder.startupnationcentral.org/company_page/modulight-bio,Optogenetics-based Platform for Neuro-excitatory Conditions,Life Sciences & HealthTech,2022,11-50,Seed
Short Wave Pharma,https://finder.startupnationcentral.org/company_page/short-wave-pharma,Psilocybin-based Products for Treatment of Mental Health Disorders,Life Sciences & HealthTech,2021,1-10,Pre-Funding
iFocus Health,https://finder.startupnationcentral.org/company_page/ifocus-health,Measuring Treatment Efficacy for Neurological Conditions,Life Sciences & HealthTech,2021,1-10,Pre-Funding
Eyecuracy,https://finder.startupnationcentral.org/company_page/eyecuracy,Neurological and Ophthalmological Care,Life Sciences & HealthTech,2022,1-10,Pre-Funding
