Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
BrainBalance,https://finder.startupnationcentral.org/company_page/brainbalance,Minimally Invasive Device for the Treatment of Alzheimer's Disease,Life Sciences & HealthTech,2016,1-10,Pre-Funding
brain.space,https://finder.startupnationcentral.org/company_page/brain-space,Brain Data Cloud,Life Sciences & HealthTech,2018,11-50,Seed
Brainsway,https://finder.startupnationcentral.org/company_page/brainsway,Advanced Technology Solutions for Brain Disorders,Life Sciences & HealthTech,2003,51-200,Public
BrainQ Technologies,https://finder.startupnationcentral.org/company_page/brainq-technologies,Neurology Therapies Using Brain–Computer Interface Technology,Life Sciences & HealthTech,2016,11-50,B
BrainStorm,https://finder.startupnationcentral.org/company_page/brainstorm,Autologous Stem Cell Therapeutics for Neurodegenerative Disorders,Life Sciences & HealthTech,2000,11-50,Public
BrainsGate,https://finder.startupnationcentral.org/company_page/brainsgate,Minimally Invasive Treatment for Central Nervous System Diseases,Life Sciences & HealthTech,2000,11-50,F
BrainFulness,https://finder.startupnationcentral.org/company_page/brainfulness,Treatment for Major Depression and Anxiety,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Brainkos,https://finder.startupnationcentral.org/company_page/brainkos,Educational Game Templates for Teachers,Content & Media,2016,1-10,Pre-Funding
Brainvivo,https://finder.startupnationcentral.org/company_page/brainvivo,AI-based Neural Network Platform,"Enterprise, IT & Data Infrastructure",2016,1-10,A
Brain1,https://finder.startupnationcentral.org/company_page/brain1,Brainwave Entrainment Device,Life Sciences & HealthTech,2015,1-10,Mature
Autobrains,https://finder.startupnationcentral.org/company_page/autobrains,Automotive AI Software for Advanced Driver Assistance and Fully Autonomous Driving Systems,Smart Mobility,2018,51-200,C
Artbrain,https://finder.startupnationcentral.org/company_page/artbrain,Growth Platform for Auction Houses and Galleries,Retail & Marketing,2018,11-50,Seed
Outbrain,https://finder.startupnationcentral.org/company_page/outbrain,Native Advertising Platform ,Retail & Marketing,2006,500+,Public
BestBrain,https://finder.startupnationcentral.org/company_page/bestbrain,Cognitive Self-care Solutions,Life Sciences & HealthTech,2016,1-10,Seed
ImmunoBrain Checkpoint,https://finder.startupnationcentral.org/company_page/immunobrain-checkpoint,Disease-modifying Immunotherapies for Neurodegenerative Disorders,Life Sciences & HealthTech,2015,1-10,Seed
Excellent Brain,https://finder.startupnationcentral.org/company_page/excellent-brain,Neurofeedback-based Brain Training Solutions ,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Shekel Brainweigh,https://finder.startupnationcentral.org/company_page/shekel-brainweigh,Mobile Retail Technologies,"Enterprise, IT & Data Infrastructure",1971,1-10,Public
Do4Brain,https://finder.startupnationcentral.org/company_page/do4brain,Cognitive Training for Seniors,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Aneuscreen,https://finder.startupnationcentral.org/company_page/aneuscreen,Decision-support System for the Early Detection of a Brain Aneurysm,Digital Health,2017,1-10,Seed
Nutek,https://finder.startupnationcentral.org/company_page/nutek-odio,Detection Solutions for Cancer Cells,Life Sciences & HealthTech,2018,1-10,Pre-Funding
NeuroAudit,https://finder.startupnationcentral.org/company_page/neuroaudit,Neuromodulation Protocols for Personalized Brain Disease Treatment,Life Sciences & HealthTech,2016,1-10,Seed
GrayMatters Health,https://finder.startupnationcentral.org/company_page/graymatters-health,Digital Therapy for Mental Health,Life Sciences & HealthTech,2018,11-50,A
OSR Enterprises,https://finder.startupnationcentral.org/company_page/osr-enterprises,Scalable AI Brain for Connected Vehicles,Smart Mobility,2011,51-200,Mature
Kideo,https://finder.startupnationcentral.org/company_page/kideo,Mobile Games for Child Development,Content & Media,2014,11-50,Pre-Funding
VirtuOptica,https://finder.startupnationcentral.org/company_page/virtuoptica,Visual Information Processing Technology,Life Sciences & HealthTech,2017,1-10,Pre-Funding
OmegaMore,https://finder.startupnationcentral.org/company_page/omegamore,Biotech Products for Chronic Cognitive Diseases,Life Sciences & HealthTech,2013,1-10,Seed
aNeuSTART,https://finder.startupnationcentral.org/company_page/aneustart,At-home Diagnostic Kit for Children with Autism Spectrum Disorder,Life Sciences & HealthTech,2018,1-10,Pre-Funding
Reinvent Pharma,https://finder.startupnationcentral.org/company_page/reinvent-pharma,Immune-based Anticancer Technologies,Life Sciences & HealthTech,2010,1-10,Pre-Funding
Qrons,https://finder.startupnationcentral.org/company_page/qrons,Advanced Stem-cell-based Solutions for Neuronal Injuries,Life Sciences & HealthTech,2016,11-50,Public
MyndYou,https://finder.startupnationcentral.org/company_page/myndyou,AI-powered Virtual Care Assistant,Life Sciences & HealthTech,2016,11-50,A
Myndlift,https://finder.startupnationcentral.org/company_page/myndlift,Accessible Home Neurofeedback Platform,Life Sciences & HealthTech,2014,11-50,Seed
Umoove,https://finder.startupnationcentral.org/company_page/umoove,Face and Eye Tracking Technology,Life Sciences & HealthTech,2012,11-50,Mature
BioXtreme,https://finder.startupnationcentral.org/company_page/bioxtreme,Stroke Rehabilitation Robotics,Life Sciences & HealthTech,2010,1-10,Seed
Optical Imaging,https://finder.startupnationcentral.org/company_page/optical-imaging,Retinal Function Imaging,Life Sciences & HealthTech,1998,1-10,Mature
Innovya Traceless Biometrics,https://finder.startupnationcentral.org/company_page/innovya-traceless-biometrics,Traceless Biometric Authentication Technology,Security Technologies,2006,1-10,Mature
Saheylu Technologies,https://finder.startupnationcentral.org/company_page/saheylu-technologies,Wireless Systems for Controlling Software with Physiology & Motion,,2015,1-10,Pre-Funding
Articoolo Research,https://finder.startupnationcentral.org/company_page/articoolo,Automatic Text Creation,"Enterprise, IT & Data Infrastructure",2014,11-50,Seed
Nextage Therapeutics,https://finder.startupnationcentral.org/company_page/micromedic,Cannabinoid-based Products for Pharmaceutical Use,Life Sciences & HealthTech,1982,11-50,Public
Loginno,https://finder.startupnationcentral.org/company_page/loginno,Shipping Container Tracking System,Smart Mobility,2010,1-10,Pre-Seed
ReAbility Online,https://finder.startupnationcentral.org/company_page/reability-online,Online System for Language and Movement Rehabilitation,Life Sciences & HealthTech,2009,11-50,Mature
Keystone Heart,https://finder.startupnationcentral.org/company_page/keystone-heart,Embolic Cerebral Protection Devices,Life Sciences & HealthTech,2004,11-50,Acquired
Cortica,https://finder.startupnationcentral.org/company_page/cortica,Autonomous AI Model Developer,Smart Mobility,2007,51-200,Mature
InnerEye,https://finder.startupnationcentral.org/company_page/innereye,Real-time Visual Target Detection,Security Technologies,2013,11-50,Seed
Neurosteer,https://finder.startupnationcentral.org/company_page/neurosteer,Remote Brain Activity Monitoring and Assessment Platform,Life Sciences & HealthTech,2015,11-50,Seed
Visior Technologies,https://finder.startupnationcentral.org/company_page/visior-technologies,Eye and Brain Stimulation Treatment Platform,Life Sciences & HealthTech,2013,1-10,Pre-Funding
Neurim Pharmaceuticals,https://finder.startupnationcentral.org/company_page/neurim-pharmaceuticals,New Chemical Entities for Insomnia and Alzheimer's Disease,Life Sciences & HealthTech,1991,11-50,Mature
Conflu3nce,https://finder.startupnationcentral.org/company_page/conflu3nce,Personalized Solution for Detecting Cognitive Health Changes,Life Sciences & HealthTech,2016,1-10,Pre-Seed
SmellSpace,https://finder.startupnationcentral.org/company_page/smellspace,Smell-based Social Network,,2010,1-10,Mature
The Right Cup,https://finder.startupnationcentral.org/company_page/the-right-cup,Tricking the Brain into Drinking More Water,AgriFood-tech & Water,2015,1-10,Mature
G-STAT,https://finder.startupnationcentral.org/company_page/g-stat-software-solutions,Big-data Predictive-analytics Software,"Enterprise, IT & Data Infrastructure",1998,51-200,Mature
