Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Tamar Robotics",="https://finder.startupnationcentral.org/company_page/tamar-robotics",="Robot for Minimally Invasive Neurosurgery",="Life Sciences & HealthTech",="2018",="11-50",="Seed",
="Arctop",="https://finder.startupnationcentral.org/company_page/arctop",="Neural Interface Software ",="Content & Media",="2016",="1-10",="Seed",
="CogniFiber",="https://finder.startupnationcentral.org/company_page/cognifiber",="Pure Photonic Computing","Enterprise, IT & Data Infrastructure",="2018",="1-10",="A",
="Gofer Technologies",="https://finder.startupnationcentral.org/company_page/gofer-technologies",="Desktop Search Solution","Enterprise, IT & Data Infrastructure",="2016",="1-10",="Pre-Funding",
="NeuroIndex",="https://finder.startupnationcentral.org/company_page/neuroindex",="EEG for Preventing Brain Injury During Anesthesia",="Life Sciences & HealthTech",="2017",="1-10",="Pre-Seed",
="EndoStream Medical",="https://finder.startupnationcentral.org/company_page/endostream-medical",="Aneurysm Devices",="Life Sciences & HealthTech",="2015",="11-50",="A",
="Bioimmunate Technologies",="https://finder.startupnationcentral.org/company_page/bio-immunate",=" Blood Filtering Technology for Autoimmune Diseases",="Life Sciences & HealthTech",="2014",="1-10",="Seed",
="Beyeonics",="https://finder.startupnationcentral.org/company_page/beyeonics-surgical",="Surgical Visualization Technologies",="Life Sciences & HealthTech",="2018",="51-200",="B",
="DeePathology.ai",="https://finder.startupnationcentral.org/company_page/deepathology-ai1",="AI-based Pathology Decision-support Platform",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="GGTUDE",="https://finder.startupnationcentral.org/company_page/gg-apps",="Digital Mental-health Solutions",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Seed",
="Tamaringa",="https://finder.startupnationcentral.org/company_page/tamaringa",="Customized Music Playlists for Elderly Patients with Dementia",="",="2017",="1-10",="Pre-Funding",
="Medical Feedback Technologies",="https://finder.startupnationcentral.org/company_page/medical-feedback-technologies",="Real-time Feedback During CPR",="Life Sciences & HealthTech",="2017",="1-10",="Mature",
="Annabella",="https://finder.startupnationcentral.org/company_page/annabella",="Smart Breast Milk Pump",="Life Sciences & HealthTech",="2017",="11-50",="Seed",
="TrainPain",="https://finder.startupnationcentral.org/company_page/trainpain",="Neuroplasticity Training Technology",="Life Sciences & HealthTech",="2017",="1-10",="Seed",
="iShence AgTech",="https://finder.startupnationcentral.org/company_page/ishence",="Plant-growing Control System",="AgriFood-tech & Water",="2016",="1-10",="Pre-Funding",
="NYX Technologies",="https://finder.startupnationcentral.org/company_page/nyx-technologies",="Neurotechnology for Sleep Management and Stress Reduction",="Life Sciences & HealthTech",="2016",="11-50",="Seed",
="Alfa Rhythm",="https://finder.startupnationcentral.org/company_page/alfa-rhythm","Electro-biometric Stimulator for Depression, Anxiety, and Sleep Disorders",="Life Sciences & HealthTech",="2014",="1-10",="Pre-Funding",
="Salute Rehab",="https://finder.startupnationcentral.org/company_page/salute-rehab-ltd",="Wearable Walking Rehabilitation System",="Life Sciences & HealthTech",="2015",="1-10",="Pre-Funding",
="Bionaut Labs",="https://finder.startupnationcentral.org/company_page/bionaut-labs",="Precision-targeted Medicine Modality for CNS Disorders",="Life Sciences & HealthTech",="2016",="11-50",="B",
="beame.io",="https://finder.startupnationcentral.org/company_page/beame-io",="Blockchain-based PKI Identity Solutions",="Security Technologies",="2015",="11-50",="Seed",
="Magneto Thrombectomy Solutions",="https://finder.startupnationcentral.org/company_page/magneto-thrombectomy-solutions",="Thrombectomy Solutions",="Life Sciences & HealthTech",="2016",="1-10",="Seed",
="Innosphere",="https://finder.startupnationcentral.org/company_page/innosphere",="AI-based Brain Stimulation Device for Treatment of ADHD",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Funding",
="Livia",="https://finder.startupnationcentral.org/company_page/ipulse-medical",="Wearable Device for Menstrual Pain",="Life Sciences & HealthTech",="2015",="11-50",="Seed",
="Granalix BioTechnologies",="https://finder.startupnationcentral.org/company_page/granalix",="Natural Antioxidant Products to Support Brain Health",="Life Sciences & HealthTech",="2013",="1-10",="Mature",
="GoodDeeds",="https://finder.startupnationcentral.org/company_page/gooddeeds",="GoodDeeds increases philanthropic ROI by empowering nonprofits to access more relevant funding and deploy it more effectively.",="FinTech",="2023",="1-10",="Pre-Funding",
="NucleoTech",="https://finder.startupnationcentral.org/company_page/nucleotech",="Effective Drug Delivery to the Brain",="Life Sciences & HealthTech",="2023",="1-10",="Pre-Funding",
="iFocus Health",="https://finder.startupnationcentral.org/company_page/ifocus-health",="Measuring Treatment Efficacy for Neurological Conditions",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Funding",
="Remepy",="https://finder.startupnationcentral.org/company_page/remepy",="Digital Innovation Platform for Pharmaceutical Companies",="Life Sciences & HealthTech",="2021",="11-50",="Seed",
="Oddity",="https://finder.startupnationcentral.org/company_page/oddity",="Personalized Product Recommendations for the Beauty & Wellness Industry ",="Retail & Marketing",="2013",="201-500",="Public",
