Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Saheylu Technologies",="https://finder.startupnationcentral.org/company_page/saheylu-technologies",="Wireless Systems for Controlling Software with Physiology & Motion",="",="2015",="1-10",="Pre-Funding",
="Teva Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/teva",="Generic and Specialty Pharmaceuticals",="Life Sciences & HealthTech",="1901",="500+",="Public",
="Novaremed",="https://finder.startupnationcentral.org/company_page/novaremed",="Medication for Chronic Neuropathic Pain",="Life Sciences & HealthTech",="2008",="11-50",="A",
="Rapid Medical",="https://finder.startupnationcentral.org/company_page/rapid-medical",="Neurovascular Devices",="Life Sciences & HealthTech",="2008",="51-200",="D",
="Keystone Heart",="https://finder.startupnationcentral.org/company_page/keystone-heart",="Embolic Cerebral Protection Devices",="Life Sciences & HealthTech",="2004",="11-50",="Acquired",
="Perflow Medical",="https://finder.startupnationcentral.org/company_page/perflow-medical",="Medical Device to Control Neurovascular Disorders",="Life Sciences & HealthTech",="2010",="11-50",="Acquired",
="MediTouch",="https://finder.startupnationcentral.org/company_page/meditouch",="Physical Therapy Solutions",="Life Sciences & HealthTech",="2004",="11-50",="Mature",
="Cortica",="https://finder.startupnationcentral.org/company_page/cortica",="Autonomous AI Model Developer",="Smart Mobility",="2007",="51-200",="Mature",
="Dentaray",="https://finder.startupnationcentral.org/company_page/dentaray",="CO2 Laser Technology",="Life Sciences & HealthTech",="2008",="1-10",="Seed",
="Brainsway",="https://finder.startupnationcentral.org/company_page/brainsway",="Advanced Technology Solutions for Brain Disorders",="Life Sciences & HealthTech",="2003",="51-200",="Public",
="InnerEye",="https://finder.startupnationcentral.org/company_page/innereye",="Real-time Visual Target Detection",="Security Technologies",="2013",="11-50",="Seed",
="RxWare",="https://finder.startupnationcentral.org/company_page/rxware",="Patient Journey Gateway",="Life Sciences & HealthTech",="2013",="11-50",="A",
="Visior Technologies",="https://finder.startupnationcentral.org/company_page/visior-technologies",="Eye and Brain Stimulation Treatment Platform",="Life Sciences & HealthTech",="2013",="1-10",="Pre-Funding",
="Surgical Theater",="https://finder.startupnationcentral.org/company_page/surgical-theater",="VR Visualization Technology for Surgery",="Life Sciences & HealthTech",="2010",="51-200",="B",
="Neurim Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/neurim-pharmaceuticals",="New Chemical Entities for Insomnia and Alzheimer's Disease",="Life Sciences & HealthTech",="1991",="11-50",="Mature",
="Conflu3nce",="https://finder.startupnationcentral.org/company_page/conflu3nce",="Personalized Solution for Detecting Cognitive Health Changes",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Seed",
="BrainQ Technologies",="https://finder.startupnationcentral.org/company_page/brainq-technologies",="Neurology Therapies Using Brain–Computer Interface Technology",="Life Sciences & HealthTech",="2016",="11-50",="B",
="ProSpec",="https://finder.startupnationcentral.org/company_page/prospec","Production of Recombinant Proteins, Cytokines, Growth Factors, and Chemokines",="Life Sciences & HealthTech",="2000",="11-50",="Mature",
